"selection1_name","selection1_url","selection1_Biography"
"Mel Brooks","https://www.imdb.com/name/nm0000316?ref_=nmls_hd","Mel Brooks was born Melvin Kaminsky on June 28, 1926 in Brooklyn, New York. He served in WWII, and afterwards got a job playing the drums at nightclubs in the Catskills. Brooks eventually started a comedy act and also worked in radio and as Master Entertainer at Grossinger's Resort before going to television.
He was a writer for, Your Show of Shows (1950) Caesar's Hour (1954) and wrote the Broadway show Shinbone Alley. He also worked in the creation of The 2000 Year Old Man (1975) and Get Smart (1965) before embarking on a highly successful film career in writing, acting, producing and directing.
Brooks is famous for the spoofs of different film genres that he made such as Blazing Saddles (1974), History of the World: Part I (1981), Silent Movie (1976), Young Frankenstein (1974), Robin Hood: Men in Tights (1993), High Anxiety (1977), Dracula: Dead and Loving It (1995), and Spaceballs (1987)."
"Tobe Hooper","https://www.imdb.com/name/nm0001361?ref_=nmls_hd","Honored with many awards for his films and achievement in the horror genre, Tobe Hooper is truly one of the Masters of Horror (2005).
Tobe Hooper was born in Austin, Texas, to Lois Belle (Crosby) and Norman William Ray Hooper, who owned a theater in San Angelo. He spent the 1960s as a college professor and documentary cameraman. In 1974, he organized a small cast that was made up of college teachers and students, and then he and Kim Henkel made The Texas Chain Saw Massacre (1974), featuring the maniacal chainsaw-wielder Leatherface (Gunnar Hansen). This film changed the horror film industry and became an instant classic, remaining on many lists of top horror films of all time. Hooper based it upon the real-life killings of Ed Gein, a cannibalistic killer responsible for the grisly murders of several people in 1950s Wisconsin. Rex Reed said, ""It's the scariest film I have ever seen."" Leonard Maltin wrote, ""While not nearly as gory as its title suggests, 'Massacre' is a genuinely terrifying film made even more unsettling by its twisted but undeniably hilarious black comedy."" It is in the Permanent Collection of the Museum of Modern Art, and was officially selected at the Cannes Film Festival of 1975 for Directors Fortnight.
Hooper's success with ""Chainsaw"" landed him in Hollywood. Hooper rejoined the cast of ""Texas"" and with Kim Henkle again for Eaten Alive (1976), a gory horror film with Mel Ferrer, Carolyn Jones, William Finley, and Marilyn Burns (who played the lead in ""Chainsaw""). The film centered around a caretaker of a motel who feeds his guests to his pet alligator. Also in the film was Robert Englund, whom Hooper helped advance his career and worked with him again in the future. ""Eaten Alive"" also won many awards at Horror Film Festivals, receiving the first Saturn Award. Also in the film, making his debut, was Robert Englund.
Hooper was assigned to the Film Ventures International production of The Dark (1979), a science-fiction thriller. After only three day, he was fired from the film and replaced with John 'Bud' Cardos. Instead, Hooper had greater success with Stephen King's 1979 mini series Salem's Lot (1979). In 1981, Hooper directed the teen slasher film The Funhouse (1981) for Universal Pictures. Despite its success, ""The Funhouse"" was a minor disappointment. In 1982, Hooper found greater success when Steven Spielberg hired him to direct his production, haunted house shocker Poltergeist (1982), for MGM. It quickly became a top-ranking major motion picture, but Hooper's reputation was waylaid by uncorroborated and spurious rumors spread throughout the film's press coverage that Spielberg had largely directed the film.
""Poltergeist"" was perhaps a greater success than ""Texas Chainsaw Massacre,"" but it was three years until Hooper found work again. He signed a three-year contract with Menahem Golan and Yoram Globus's Cannon Group, and directed more films, including Lifeforce (1985), with Patrick Stewart for TriStar; the minor remake Invaders from Mars (1986); and the disappointing sequel The Texas Chainsaw Massacre 2 (1986), with Dennis Hopper. During the mid-1980s, Hooper also directed several television projects, including episodes of Amazing Stories (1985), The Equalizer (1985), Freddy's Nightmares (1988) and Tales from the Crypt (1989) with Whoopi Goldberg.
In the 1990s, Hooper continued working in both film and television: I'm Dangerous Tonight (1990), Nowhere Man (1995), Dark Skies (1996), Perversions of Science (1997) with Jamie Kennedy and Jason Lee, The Apartment Complex (1999) with Amanda Plummer for Showtime, Night Terrors (1993) and The Mangler (1995) for New Line, the latter two with Robert Englund. In the new century Hooper's career grew stronger, with Night Visions (2001), Shadow Realm (2002) and the pilot episode for Steven Spielberg's award-winning miniseries Taken (2002).
In 2003, Hooper co-produced the successful remake of The Texas Chainsaw Massacre (2003) for New Line. His final three films as director were Toolbox Murders (2004), with Angela Bettis, released through Lions Gate; Mortuary (2005), a zombie film with Dan Byrd; and evil genie tale Djinn (2013).
Tobe Hooper died on August 26, 2017, in Sherman Oaks, Los Angeles.
Leatherface (2017), technically the eighth film in Hooper's Chainsaw franchise, was slated for release just weeks after his death."
"Stanley Kubrick","https://www.imdb.com/name/nm0000040?ref_=nmls_hd","Stanley Kubrick was born in Manhattan, New York City, to Sadie Gertrude (Perveler) and Jacob Leonard Kubrick, a physician. His family were Jewish immigrants (from Austria, Romania, and Russia). Stanley was considered intelligent, despite poor grades at school. Hoping that a change of scenery would produce better academic performance, Kubrick's father sent him in 1940 to Pasadena, California, to stay with his uncle, Martin Perveler. Returning to the Bronx in 1941 for his last year of grammar school, there seemed to be little change in his attitude or his results. Hoping to find something to interest his son, Jack introduced Stanley to chess, with the desired result. Kubrick took to the game passionately, and quickly became a skilled player. Chess would become an important device for Kubrick in later years, often as a tool for dealing with recalcitrant actors, but also as an artistic motif in his films.
Jack Kubrick's decision to give his son a camera for his thirteenth birthday would be an even wiser move: Kubrick became an avid photographer, and would often make trips around New York taking photographs which he would develop in a friend's darkroom. After selling an unsolicited photograph to Look Magazine, Kubrick began to associate with their staff photographers, and at the age of seventeen was offered a job as an apprentice photographer.
In the next few years, Kubrick had regular assignments for ""Look"", and would become a voracious movie-goer. Together with friend Alexander Singer, Kubrick planned a move into film, and in 1950 sank his savings into making the documentary Day of the Fight (1951). This was followed by several short commissioned documentaries (Flying Padre (1951), and (The Seafarers (1953), but by attracting investors and hustling chess games in Central Park, Kubrick was able to make Fear and Desire (1953) in California.
Filming this movie was not a happy experience; Kubrick's marriage to high school sweetheart Toba Metz did not survive the shooting. Despite mixed reviews for the film itself, Kubrick received good notices for his obvious directorial talents. Kubrick's next two films Killer's Kiss (1955) and The Killing (1956) brought him to the attention of Hollywood, and in 1957 he directed Kirk Douglas in Paths of Glory (1957). Douglas later called upon Kubrick to take over the production of Spartacus (1960), by some accounts hoping that Kubrick would be daunted by the scale of the project and would thus be accommodating. This was not the case, however: Kubrick took charge of the project, imposing his ideas and standards on the film. Many crew members were upset by his style: cinematographer Russell Metty complained to producers that Kubrick was taking over his job. Kubrick's response was to tell him to sit there and do nothing. Metty complied, and ironically was awarded the Academy Award for his cinematography.
Kubrick's next project was to direct Marlon Brando in One-Eyed Jacks (1961), but negotiations broke down and Brando himself ended up directing the film himself. Disenchanted with Hollywood and after another failed marriage, Kubrick moved permanently to England, from where he would make all of his subsequent films. Despite having obtained a pilot's license, Kubrick was rumored to be afraid of flying.
Kubrick's first UK film was Lolita (1962), which was carefully constructed and guided so as to not offend the censorship boards which at the time had the power to severely damage the commercial success of a film. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964) was a big risk for Kubrick; before this, ""nuclear"" was not considered a subject for comedy. Originally written as a drama, Kubrick decided that too many of the ideas he had written were just too funny to be taken seriously. The film's critical and commercial success allowed Kubrick the financial and artistic freedom to work on any project he desired. Around this time, Kubrick's focus diversified and he would always have several projects in various stages of development: ""Blue Moon"" (a story about Hollywood's first pornographic feature film), ""Napoleon"" (an epic historical biography, abandoned after studio losses on similar projects), ""Wartime Lies"" (based on the novel by Louis Begley), and ""Rhapsody"" (a psycho-sexual thriller).
The next film he completed was a collaboration with sci-fi author Arthur C. Clarke. 2001: A Space Odyssey (1968) is hailed by many as the best ever made; an instant cult favorite, it has set the standard and tone for many science fiction films that followed. Kubrick followed this with A Clockwork Orange (1971), which rivaled Lolita (1962) for the controversy it generated - this time not only for its portrayal of sex, but also of violence. Barry Lyndon (1975) would prove a turning point in both his professional and private lives. His unrelenting demands of commitment and perfection of cast and crew had by now become legendary. Actors would be required to perform dozens of takes with no breaks. Filming a story in Ireland involving military, Kubrick received reports that the IRA had declared him a possible target. Production was promptly moved out of the country, and Kubrick's desire for privacy and security resulted in him being considered a recluse ever since.
Having turned down directing a sequel to The Exorcist (1973), Kubrick made his own horror film: The Shining (1980). Again, rumors circulated of demands made upon actors and crew. Stephen King (whose novel the film was based upon) reportedly didn't like Kubrick's adaptation (indeed, he would later write his own screenplay which was filmed as The Shining (1997).)
Kubrick's subsequent work has been well spaced: it was seven years before Full Metal Jacket (1987) was released. By this time, Kubrick was married with children and had extensively remodeled his house. Seen by one critic as the dark side to the humanist story of Platoon (1986), Full Metal Jacket (1987) continued Kubrick's legacy of solid critical acclaim, and profit at the box office.
In the 1990s, Kubrick began an on-again/off-again collaboration with Brian Aldiss on a new science fiction film called ""Artificial Intelligence (AI)"", but progress was very slow, and was backgrounded until special effects technology was up to the standard the Kubrick wanted.
Kubrick returned to his in-development projects, but encountered a number of problems: ""Napoleon"" was completely dead, and ""Wartime Lies"" (now called ""The Aryan Papers"") was abandoned when Steven Spielberg announced he would direct Schindler's List (1993), which covered much of the same material.
While pre-production work on ""AI"" crawled along, Kubrick combined ""Rhapsody"" and ""Blue Movie"" and officially announced his next project as Eyes Wide Shut (1999), starring the then-married Tom Cruise and Nicole Kidman. After two years of production under unprecedented security and privacy, the film was released to a typically polarized critical and public reception; Kubrick claimed it was his best film to date.
Special effects technology had matured rapidly in the meantime, and Kubrick immediately began active work on A.I. Artificial Intelligence (2001), but tragically suffered a fatal heart attack in his sleep on March 7th, 1999.
After Kubrick's death, Spielberg revealed that the two of them were friends that frequently communicated discreetly about the art of filmmaking; both had a large degree of mutual respect for each other's work. ""AI"" was frequently discussed; Kubrick even suggested that Spielberg should direct it as it was more his type of project. Based on this relationship, Spielberg took over as the film's director and completed the last Kubrick project.
How much of Kubrick's vision remains in the finished project -- and what he would think of the film as eventually released -- will be the final great unanswerable mysteries in the life of this talented and private filmmaker."
"Steven Spielberg","https://www.imdb.com/name/nm0000229?ref_=nmls_hd","One of the most influential personalities in the history of cinema, Steven Spielberg is Hollywood's best known director and one of the wealthiest filmmakers in the world. He has an extraordinary number of commercially successful and critically acclaimed credits to his name, either as a director, producer or writer since launching the summer blockbuster with Jaws (1975), and he has done more to define popular film-making since the mid-1970s than anyone else.
Steven Allan Spielberg was born in 1946 in Cincinnati, Ohio, to Leah Frances (Posner), a concert pianist and restaurateur, and Arnold Spielberg, an electrical engineer who worked in computer development. His parents were both born to Russian Jewish immigrant families. Steven spent his younger years in Haddon Township, New Jersey, Phoenix, Arizona, and later Saratoga, California. He went to California State University Long Beach, but dropped out to pursue his entertainment career. He gained notoriety as an uncredited assistant editor on the classic western Wagon Train (1957). Among his early directing efforts were Battle Squad (1961), which combined World War II footage with footage of an airplane on the ground that he makes you believe is moving. He also directed Escape to Nowhere (1961), which featured children as World War Two soldiers, including his sister Anne Spielberg, and The Last Gun (1959), a western. All of these were short films. The next couple of years, Spielberg directed a couple of movies that would portend his future career in movies. In 1964, he directed Firelight (1964), a movie about aliens invading a small town. In 1967, he directed Slipstream (1967), which was unfinished. However, in 1968, he directed Amblin' (1968), which featured the desert prominently, and not the first of his movies in which the desert would feature so prominently. Amblin' also became the name of his production company, which turned out such classics as E.T. the Extra-Terrestrial (1982). Spielberg had a unique and classic early directing project, Duel (1971), with Dennis Weaver. In the early 1970s, Spielberg was working on TV, directing among others such series as Rod Serling's Night Gallery (1969), Marcus Welby, M.D. (1969) and Columbo: Murder by the Book (1971). All of his work in television and short films, as well as his directing projects, were just a hint of the wellspring of talent that would dazzle audiences all over the world.
Spielberg's first major directorial effort was The Sugarland Express (1974), with Goldie Hawn, a film that marked him as a rising star. It was his next effort, however, that made him an international superstar among directors: Jaws (1975). This classic shark attack tale started the tradition of the summer blockbuster or, at least, he was credited with starting the tradition. His next film was the classic Close Encounters of the Third Kind (1977), a unique and original UFO story that remains a classic. In 1978, Spielberg produced his first film, the forgettable I Wanna Hold Your Hand (1978), and followed that effort with Used Cars (1980), a critically acclaimed, but mostly forgotten, Kurt Russell/Jack Warden comedy about devious used-car dealers. Spielberg hit gold yet one more time with Indiana Jones and the Raiders of the Lost Ark (1981), with Harrison Ford taking the part of Indiana Jones. Spielberg produced and directed two films in 1982. The first was Poltergeist (1982), but the highest-grossing movie of all time up to that point was the alien story E.T. the Extra-Terrestrial (1982). Spielberg also helped pioneer the practice of product placement. The concept, while not uncommon, was still relatively low-key when Spielberg raised the practice to almost an art form with his famous (or infamous) placement of Reese's Pieces in ""E.T."" Spielberg was also one of the pioneers of the big-grossing special-effects movies, like ""E.T."" and ""Close Encounters"", where a very strong emphasis on special effects was placed for the first time on such a huge scale. In 1984, Spielberg followed up ""Raiders"" with Indiana Jones and the Temple of Doom (1984), which was a commercial success but did not receive the critical acclaim of its predecessor. As a producer, Spielberg took on many projects in the 1980s, such as The Goonies (1985), and was the brains behind the little monsters in Gremlins (1984). He also produced the cartoon An American Tail (1986), a quaint little animated classic. His biggest effort as producer in 1985, however, was the blockbuster Back to the Future (1985), which made Michael J. Fox an instant superstar. As director, Spielberg took on the book The Color Purple (1985), with Whoopi Goldberg and Oprah Winfrey, with great success. In the latter half of the 1980s, he also directed Empire of the Sun (1987), a mixed success for the occasionally erratic Spielberg. Success would not escape him for long, though.
The late 1980s found Spielberg's projects at the center of pop-culture yet again. In 1988, he produced the landmark animation/live-action film Who Framed Roger Rabbit (1988). The next year proved to be another big one for Spielberg, as he produced and directed Always (1989) as well as Indiana Jones and the Last Crusade (1989), and Back to the Future Part II (1989). All three of the films were box-office and critical successes. Also, in 1989, he produced the little known comedy-drama Dad (1989), with Jack Lemmon and Ted Danson, which got mostly mixed results. Spielberg has also had an affinity for animation and has been a strong voice in animation in the 1990s. Aside from producing the landmark ""Who Framed Roger Rabbit"", he produced the animated series Tiny Toon Adventures (1990), Animaniacs (1993), Pinky and the Brain (1995), Freakazoid! (1995), Pinky, Elmyra & the Brain (1998), Family Dog (1993) and Toonsylvania (1998). Spielberg also produced other cartoons such as The Land Before Time (1988), We're Back! A Dinosaur's Story (1993), Casper (1995) (the live action version) as well as the live-action version of The Flintstones (1994), where he was credited as ""Steven Spielrock"". Spielberg also produced many Roger Rabbit short cartoons, and many Pinky and the Brain, Animaniacs and Tiny Toons specials. Spielberg was very active in the early 1990s, as he directed Hook (1991) and produced such films as the cute fantasy Joe Versus the Volcano (1990) and An American Tail: Fievel Goes West (1991). He also produced the unusual comedy thriller Arachnophobia (1990), Back to the Future Part III (1990) and Gremlins 2: The New Batch (1990). While these movies were big successes in their own right, they did not quite bring in the kind of box office or critical acclaim as previous efforts. In 1993, Spielberg directed Jurassic Park (1993), which for a short time held the record as the highest grossing movie of all time, but did not have the universal appeal of his previous efforts. Big box-office spectacles were not his only concern, though. He produced and directed Schindler's List (1993), a stirring film about the Holocaust. He won best director at the Oscars, and also got Best Picture. In the mid-90s, he helped found the production company DreamWorks, which was responsible for many box-office successes.
As a producer, he was very active in the late 90s, responsible for such films as The Mask of Zorro (1998), Men in Black (1997) and Deep Impact (1998). However, it was on the directing front that Spielberg was in top form. He directed and produced the epic Amistad (1997), a spectacular film that was shorted at the Oscars and in release due to the fact that its release date was moved around so much in late 1997. The next year, however, produced what many believe was one of the best films of his career: Saving Private Ryan (1998), a film about World War Two that is spectacular in almost every respect. It was stiffed at the Oscars, losing best picture to Shakespeare in Love (1998).
Spielberg produced a series of films, including Evolution (2001), The Haunting (1999) and Shrek (2001). he also produced two sequels to Jurassic Park (1993), which were financially but not particularly critical successes. In 2001, he produced a mini-series about World War Two that definitely *was* a financial and critical success: Band of Brothers (2001), a tale of an infantry company from its parachuting into France during the invasion to the Battle of the Bulge. Also in that year, Spielberg was back in the director's chair for A.I. Artificial Intelligence (2001), a movie with a message and a huge budget. It did reasonably at the box office and garnered varied reviews from critics.
Spielberg has been extremely active in films there are many other things he has done as well. He produced the short-lived TV series SeaQuest 2032 (1993), an anthology series entitled Amazing Stories (1985), created the video-game series ""Medal of Honor"" set during World War Two, and was a starting producer of ER (1994). Spielberg, if you haven't noticed, has a great interest in World War Two. He and Tom Hanks collaborated on Shooting War: World War II Combat Cameramen (2000), a documentary about World War II combat photographers, and he produced a documentary about the Holocaust called Eyes of the Holocaust (2000). With all of this to Spielberg's credit, it's no wonder that he's looked at as one of the greatest ever figures in entertainment."
"Sidney Lumet","https://www.imdb.com/name/nm0001486?ref_=nmls_hd","Sidney Lumet was a master of cinema, best known for his technical knowledge and his skill at getting first-rate performances from his actors -- and for shooting most of his films in his beloved New York. He made over 40 movies, often complex and emotional, but seldom overly sentimental. Although his politics were somewhat left-leaning and he often treated socially relevant themes in his films, Lumet didn't want to make political movies in the first place. Born on June 25, 1924, in Philadelphia, the son of actor Baruch Lumet and dancer Eugenia Wermus Lumet, he made his stage debut at age four at the Yiddish Art Theater in New York. He played many roles on Broadway in the 1930s and also in the film ...One Third of a Nation... (1939). After starting an off-Broadway acting troupe in the late 1940s, he became the director of many television shows in the 1950s. Lumet made his feature film directing debut with 12 Angry Men (1957), which won the Golden Bear at the Berlin Film Festival and earned three Academy Award nominations. The courtroom drama, which takes place almost entirely in a jury room, is justly regarded as one of the most auspicious directorial debuts in film history. Lumet got the chance to direct Marlon Brando in The Fugitive Kind (1960), an imperfect, but powerful adaptation of Tennessee Williams' ""Orpheus Descending"". The first half of the 1960s was one of Lumet's most artistically successful periods. Long Day's Journey Into Night (1962), a masterful, brilliantly photographed adaptation of the Eugene O'Neill play, is one of several Lumet films about families. It earned Katharine Hepburn, Ralph Richardson, Dean Stockwell and Jason Robards deserved acting awards in Cannes and Hepburn an Oscar nomination. The alarming Cold War thriller Fail Safe (1964) unfairly suffered from comparison to Stanley Kubrick's equally great satire Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964), which was released shortly before. The Pawnbroker (1964), arguably the most outstanding of the great movies Lumet made in this phase, tells the story of a Holocaust survivor who lives in New York and can't overcome his experiences in the Nazi concentration camps. Rod Steiger's unforgettable performance in the title role earned an Academy Award nomination. Lumet's intense character study The Hill (1965) about inhumanity in a military prison camp was the first of five films he did with Sean Connery. After the overly talky but rewarding drama The Group (1966) about young upper-class women in the 1930s, and the stylish spy thriller The Deadly Affair (1967), the late 1960s turned out to be a lesser phase in Lumet's career. He had a strong comeback with the box-office hit The Anderson Tapes (1971). The Offence (1973) was commercially less successful, but artistically brilliant - with Connery in one of his most impressive performances. The terrific cop thriller Serpico (1973), the first of his films about police corruption in New York City, became one of his biggest critical and financial successes. Al Pacino's fascinating portrayal of the real-life cop Frank Serpico earned a Golden Globe and the movie earned two Academy Award nominations (it is worth noting that Lumet's feature films of the 1970s alone earned 30 Oscar nominations, winning six times). The love triangle Lovin' Molly (1974) was not always convincing in its atmospheric details, but Lumet's fine sense of emotional truth and a good Blythe Danner keep it interesting. The adaptation of Agatha Christie's Murder on the Orient Express (1974), an exquisitely photographed murder mystery with an all-star cast, was a big success again. Lumet's complex crime thriller Dog Day Afternoon (1975), which Pauline Kael called ""one of the best ""New York"" movies ever made"", gave Al Pacino the opportunity for a breathtaking, three-dimensional portrayal of a bisexual man who tries to rob a bank to finance his lover's sex-change operation. Lumet's next masterpiece, Network (1976), was a prophetic satire on media and society. The film version of Peter Shaffer's stage play Equus (1977) about a doctor and his mentally confused patient was also powerful, not least because of the energetic acting by Richard Burton and Peter Firth. After the enjoyable musical The Wiz (1978) and the interesting but not easily accessible comedy Just Tell Me What You Want (1980), Sidney Lumet won the New York Film Critics Circle Award for his outstanding direction of Prince of the City (1981), one of his best and most typical films. It's about police corruption, but hardly a remake of Serpico (1973). Starring a powerful Treat Williams, it's an extraordinarily multi-layered film. In his highly informative book ""Making Movies"" (1995), Lumet describes the film in the following way: ""When we try to control everything, everything winds up controlling us. Nothing is what it seems."" It's also a movie about values, friendship and drug addiction and, like ""Serpico"", is based on a true story. In Deathtrap (1982), Lumet successfully blended suspense and black humor. The Verdict (1982) was voted the fourth greatest courtroom drama of all time by the American Film Institute in 2008. A few minor inaccuracies in legal details do not mar this study of an alcoholic lawyer (superbly embodied by Paul Newman) aiming to regain his self-respect through a malpractice case. The expertly directed movie received five Academy Award nominations. Lumet's controversial drama Daniel (1983) with Timothy Hutton, an adaptation of E.L. Doctorow's ""The Book of Daniel"" about two young people whose parents were executed during the McCarthy Red Scare hysteria in the 1950s for alleged espionage, is one of his underrated achievements. His later masterpiece Running on Empty (1988) has a similar theme, portraying a family which has been on the run from the FBI since the parents (played by Christine Lahti and Judd Hirsch) committed a bomb attack on a napalm laboratory in 1971 to protest the war in Vietnam. The son (played by River Phoenix in an extraordinarily moving, Oscar-nominated performance) falls in love with a girl and wishes to stay with her and study music. Naomi Foner's screenplay won the Golden Globe. Other Lumet movies of the 1980s are the melancholic comedy drama Garbo Talks (1984); the occasionally clichéd Power (1986) about election campaigns; the all too slow thriller The Morning After (1986) and the amusing gangster comedy Family Business (1989). With Q&A (1990) Lumet returned to the genre of the New York cop thriller. Nick Nolte shines in the role of a corrupt and racist detective in this multi-layered, strangely underrated film. Sadly, with the exception of Night Falls on Manhattan (1996), an imperfect but fascinating crime drama in the tradition of his own previous genre works, almost none of Lumet's works of the 1990s did quite get the attention they deserved. The crime drama A Stranger Among Us (1992) blended genres in a way that did not seem to match most viewers' expectations, but its contemplations about life arouse interest. The intelligent hospital satire Critical Care (1997) was unfairly neglected as well. The courtroom thriller Guilty as Sin (1993) was cold but intriguing. Lumet's Gloria (1999) remake seemed unnecessary, but he returned impressively with the underestimated courtroom comedy Find Me Guilty (2006) and the justly acclaimed crime thriller Before the Devil Knows You're Dead (2007). In 2005, Sidney Lumet received a well-deserved honorary Academy Award for his outstanding contribution to filmmaking. Sidney Lumet tragically died of cancer in 2011."
"Sydney Pollack","https://www.imdb.com/name/nm0001628?ref_=nmls_hd","Sydney Pollack was an Academy Award-winning director, producer, actor, writer and public figure, who directed and produced over 40 films.
Sydney Irwin Pollack was born July 1, 1934 in Lafayette, Indiana, USA, to Rebecca (Miller), a homemaker, and David Pollack, a professional boxer turned pharmacist. All of his grandparents were Russian Jewish immigrants. His parents divorced when he was young. His mother, an alcoholic, died at age 37, when Sydney was 16. He spent his formative years in Indiana, graduating from his HS in 1952, then moved to New York City.
From 1952-1954 young Pollack studied acting with Sanford Meisner at The Neighborhood Playhouse School of the Theatre in New York. He served two years in the army, and then returned to the Neighborhood Playhouse and taught acting. In 1958, Pollack married his former student Claire Griswold. They had three children. Their son, Steven Pollack, died in a plane crash on November 26, 1993, in Santa Monica, California. Their daughter, Rebecca Pollack, served as vice president of film production at United Artists during the 1990s. Their youngest daughter, Rachel Pollack, was born in 1969.
Pollack began his acting career on stage, then made his name as television director in the early 1960s. He made his big screen acting debut in War Hunt (1962), where he met fellow actor Robert Redford, and the two co-stars established a life-long friendship. Pollack called on his good friend Redford to play opposite Natalie Wood in This Property Is Condemned (1966). Pollack and Redford worked together on six more films over the years. His biggest success came with Out of Africa (1985), starring Robert Redford and Meryl Streep. The movie earned eleven Academy Award nominations in all and seven wins, including Pollack's two Oscars: one for Best Direction and one for Best Picture.
Pollack showed his best as a comedy director and actor in Tootsie (1982), where he brought feminist issues to public awareness using his remarkable wit and wisdom, and created a highly entertaining film, which was nominated for ten Academy Awards. Pollack's directing revealed Dustin Hoffman's range and nuanced acting in gender switching from a dominant boyfriend to a nurse in drag, a brilliant collaboration of director and actor that broadened public perception about sex roles. Pollack also made success in producing such films as The Talented Mr. Ripley (1999), The Quiet American (2002) and Cold Mountain (2003). Pollack returned to the director's chair in 2004, when he directed The Interpreter (2005), the first film ever shot on location at the United Nations Headquarters and within the General Assembly in New York City.
In 2000, Sydney Pollack was honored with the John Huston Award from the Directors Guild of America as a ""defender of artists' rights."" He died from cancer on May 26, 2008, at his home in the Los Angeles suburb of Pacific Palisades, California."
"Alan J. Pakula","https://www.imdb.com/name/nm0001587?ref_=nmls_hd","Alan J. Pakula was an American film director, writer and producer. He was nominated for three Academy Awards: Best Picture for To Kill a Mockingbird (1962), Best Director for All the President's Men (1976) and Best Adapted Screenplay for Sophie's Choice (1982).
He also directed Presumed Innocent (1990), The Pelican Brief (1993) and The Devil's Own (1997), his last film.
From October 19, 1963, until 1971, Pakula was married to actress Hope Lange. He was married to his second wife, Hannah Pakula from 1973 until his death in 1998.
Pakula died on November 19, 1998, in a car accident, he was 70 years old."
"Michael Cimino","https://www.imdb.com/name/nm0001047?ref_=nmls_hd","Michael Cimino studied architecture and dramatic arts; later he filmed advertisements and documentaries and also wrote scripts until the actor, producer and director Clint Eastwood gave him the opportunity to direct the thriller Thunderbolt and Lightfoot (1974). But his biggest success was The Deer Hunter (1978) which won the Oscar for best film. For another successful film, The Sicilian (1987), he got into trouble with critics when they accused him of portraying as a hero the Italian criminal Salvatore Giuliano."
"Harold Becker","https://www.imdb.com/name/nm0000887?ref_=nmls_hd","Harold Becker was born on September 25, 1928 in New York City, New York, USA. He is a director and producer, known for Malice (1993), Domestic Disturbance (2001) and Mercury Rising (1998). He is married to Susan Becker."
"Irvin Kershner","https://www.imdb.com/name/nm0449984?ref_=nmls_hd","Irvin Kershner was born on April 29, 1923 in Philadelphia, Pennsylvania. A graduate of the University of Southern California film school, Kershner began his career in 1950, producing documentaries for the United States Information Service in the Middle East. He later turned to television, directing and photographing a series of documentaries called ""Confidential File"". Kershner was one of the directors given his first break by producer Roger Corman, for whom he shot Stakeout on Dope Street (1958). The main theme that runs through many of his films is social alienation and human weaknesses - although his biggest commercial success was the science fiction blockbuster Star Wars: Episode V - The Empire Strikes Back (1980). Irvin Kershner died at age 87 of lung cancer in his home in Los Angeles, California on November 27, 2010."
